;lat;lon;min_db;max_db
153;54.36123944914491;18.737800384615383;55.0;60.0
154;54.35673899909991;18.491646538461538;60.0;65.0
155;54.35673899909991;18.514723461538463;60.0;65.0
156;54.35673899909991;18.52241576923077;65.0;70.0
157;54.35673899909991;18.58395423076923;55.0;60.0
158;54.35673899909991;18.599338846153845;65.0;70.0
159;54.35673899909991;18.630108076923076;60.0;65.0
160;54.35673899909991;18.637800384615385;60.0;65.0
161;54.35673899909991;18.64549269230769;60.0;65.0
162;54.35673899909991;18.653185;65.0;70.0
163;54.35673899909991;18.68395423076923;55.0;60.0
164;54.35673899909991;18.691646538461537;55.0;60.0
165;54.35673899909991;18.699338846153847;55.0;60.0
166;54.35673899909991;18.768569615384614;55.0;60.0
167;54.3522385490549;18.476261923076922;60.0;65.0
168;54.3522385490549;18.483954230769232;60.0;65.0
169;54.3522385490549;18.491646538461538;55.0;60.0
170;54.3522385490549;18.499338846153847;70.0;75.0
171;54.3522385490549;18.514723461538463;55.0;60.0
172;54.3522385490549;18.52241576923077;60.0;65.0
173;54.3522385490549;18.530108076923078;60.0;65.0
174;54.3522385490549;18.568569615384614;55.0;60.0
175;54.3522385490549;18.576261923076924;70.0;75.0
176;54.3522385490549;18.62241576923077;55.0;60.0
177;54.3522385490549;18.630108076923076;55.0;60.0
178;54.3522385490549;18.637800384615385;65.0;70.0
179;54.3522385490549;18.64549269230769;70.0;75.0
180;54.3522385490549;18.676261923076922;55.0;60.0
181;54.3522385490549;18.68395423076923;60.0;65.0
182;54.3522385490549;18.691646538461537;55.0;60.0
183;54.3522385490549;18.699338846153847;70.0;75.0
184;54.3522385490549;18.707031153846152;70.0;75.0
185;54.3522385490549;18.714723461538462;55.0;60.0
186;54.3522385490549;18.760877307692308;60.0;65.0
187;54.3477380990099;18.514723461538463;60.0;65.0
188;54.3477380990099;18.52241576923077;70.0;75.0
189;54.3477380990099;18.530108076923078;75.0;80.0
190;54.3477380990099;18.58395423076923;55.0;60.0
